±»»›¡ø/mAh/g,µÁ—π/V
31.1,0.9256
31.3,0.9389
31.4,0.9488
31.5,0.9609
31.7,0.9733
31.8,0.9846
32.0,0.9970
32.0,1.0004
0.0,0.8746
0.1,0.6898
0.3,0.6045
0.4,0.5911
0.6,0.5807
0.7,0.5725
0.8,0.5669
1.0,0.5621
1.1,0.5577
1.3,0.5532
1.4,0.5495
1.5,0.5466
1.7,0.5433
1.8,0.5399
1.9,0.5374
2.1,0.5348
2.2,0.5318
2.4,0.5297
2.5,0.5273
2.7,0.5250
2.8,0.5227
2.9,0.5210
3.1,0.5185
3.2,0.5168
3.3,0.5151
3.5,0.5131
3.6,0.5112
3.8,0.5092
3.9,0.5078
4.0,0.5061
4.2,0.5047
4.3,0.5032
4.5,0.5016
4.6,0.5002
4.8,0.4985
4.9,0.4973
5.0,0.4959
5.1,0.4946
5.3,0.4934
5.4,0.4918
5.6,0.4905
5.7,0.4892
5.8,0.4881
6.0,0.4870
6.1,0.4858
6.3,0.4846
6.4,0.4833
6.6,0.4824
6.7,0.4815
6.8,0.4804
6.9,0.4793
7.1,0.4784
7.2,0.4771
7.4,0.4762
7.5,0.4751
7.6,0.4742
7.8,0.4731
7.9,0.4722
8.1,0.4712
8.2,0.4701
8.3,0.4694
8.5,0.4683
8.6,0.4675
8.8,0.4664
8.9,0.4655
9.0,0.4646
9.2,0.4636
9.3,0.4625
9.5,0.4616
9.6,0.4607
9.8,0.4596
9.9,0.4588
10.0,0.4577
10.2,0.4567
10.3,0.4557
10.4,0.4545
10.6,0.4536
10.7,0.4525
10.9,0.4511
11.0,0.4501
11.1,0.4489
11.3,0.4477
11.4,0.4464
11.5,0.4452
11.7,0.4438
11.8,0.4424
12.0,0.4412
12.1,0.4399
12.2,0.4384
12.4,0.4371
12.5,0.4356
12.6,0.4343
12.8,0.4326
12.9,0.4312
13.1,0.4295
13.2,0.4278
13.4,0.4261
13.5,0.4246
13.6,0.4227
13.8,0.4213
13.9,0.4195
14.0,0.4176
14.2,0.4156
14.3,0.4139
14.5,0.4125
14.6,0.4109
14.7,0.4092
14.9,0.4075
15.0,0.4057
15.1,0.4040
15.3,0.4021
15.4,0.4005
15.6,0.3987
15.7,0.3971
15.8,0.3956
16.0,0.3940
16.1,0.3925
16.3,0.3906
16.4,0.3895
16.6,0.3874
16.7,0.3861
16.8,0.3849
17.0,0.3833
17.1,0.3819
17.2,0.3804
17.4,0.3790
17.5,0.3776
17.7,0.3762
17.8,0.3748
17.9,0.3734
18.1,0.3723
18.2,0.3709
18.3,0.3697
18.5,0.3685
18.6,0.3671
18.8,0.3660
18.9,0.3647
19.0,0.3635
19.2,0.3621
19.3,0.3613
19.5,0.3598
19.6,0.3588
19.7,0.3578
19.9,0.3565
20.0,0.3556
20.2,0.3544
20.3,0.3533
20.4,0.3523
20.6,0.3513
20.7,0.3502
20.8,0.3492
21.0,0.3483
21.1,0.3474
21.3,0.3463
21.4,0.3454
21.5,0.3444
21.7,0.3435
21.8,0.3430
22.0,0.3420
22.1,0.3412
22.2,0.3406
22.4,0.3398
22.5,0.3390
22.7,0.3384
22.8,0.3378
22.9,0.3371
23.1,0.3367
23.2,0.3361
23.4,0.3354
23.5,0.3348
23.6,0.3345
23.8,0.3339
23.9,0.3334
24.0,0.3330
24.2,0.3323
24.3,0.3317
24.5,0.3313
24.6,0.3306
24.7,0.3300
24.9,0.3294
25.0,0.3288
25.1,0.3280
25.3,0.3272
25.4,0.3266
25.6,0.3257
25.7,0.3247
25.9,0.3240
26.0,0.3230
26.1,0.3223
26.3,0.3213
26.4,0.3203
26.5,0.3195
26.7,0.3184
26.8,0.3175
27.0,0.3164
27.1,0.3151
27.2,0.3139
27.4,0.3130
27.5,0.3117
27.7,0.3106
27.8,0.3094
27.9,0.3083
28.1,0.3071
28.2,0.3058
28.4,0.3044
28.5,0.3034
28.6,0.3023
28.8,0.3007
28.9,0.2999
29.0,0.2985
29.2,0.2975
29.3,0.2964
29.4,0.2953
29.6,0.2939
29.8,0.2927
29.9,0.2917
30.0,0.2905
30.2,0.2892
30.3,0.2880
30.4,0.2871
30.6,0.2857
30.7,0.2846
30.8,0.2834
31.0,0.2821
31.1,0.2809
31.3,0.2798
31.4,0.2786
31.5,0.2775
31.7,0.2764
31.8,0.2751
32.1,0.2731
32.2,0.2720
32.4,0.2710
